train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate
0.0,0.0,0,0.0,100,151.48810459393633,114.99417908104098,0.49,0.0
0.0,0.05,0,0.05,100,132.4585816322336,121.33932787332795,0.43,0.0
0.0,0.1,0,0.1,100,115.12087503954763,127.52999169714246,0.39,0.02
0.0,0.15,0,0.15,100,128.74460111293251,126.57470116149513,0.43,0.02
0.0,0.2,0,0.2,100,112.58345447078052,130.63244732823765,0.41,0.02
0.0,0.25,0,0.25,100,116.54063996613493,125.6842242379146,0.41,0.01
0.0,0.0,42,0.0,100,205.74363473130717,85.40656644512319,0.72,0.0
0.0,0.05,42,0.05,100,208.98906292318762,96.53113544591758,0.77,0.01
0.0,0.1,42,0.1,100,176.9565300813891,110.5122202229325,0.63,0.02
0.0,0.15,42,0.15,100,191.9438363445446,108.65724346431274,0.71,0.02
0.0,0.2,42,0.2,100,181.44160458855742,132.5978620075309,0.71,0.06
0.0,0.25,42,0.25,100,185.07776343687598,127.54036091216331,0.72,0.06
0.0,0.0,1729,0.0,100,143.3016833621316,91.70229410152213,0.37,0.0
0.0,0.05,1729,0.05,100,135.9986551320793,99.0734394713431,0.42,0.0
0.0,0.1,1729,0.1,100,102.05480776257005,100.40445902634416,0.28,0.01
0.0,0.15,1729,0.15,100,105.42440433439234,118.97241743041646,0.33,0.05
0.0,0.2,1729,0.2,100,104.14920689555387,108.7912922581831,0.31,0.01
0.0,0.25,1729,0.25,100,93.26448811464053,112.67212378822721,0.27,0.04
0.0,0.0,6174,0.0,100,215.29986175268766,75.12896310117414,0.7,0.0
0.0,0.05,6174,0.05,100,204.83350973861397,78.42065040198685,0.65,0.0
0.0,0.1,6174,0.1,100,217.7507065247992,77.11001745264448,0.76,0.01
0.0,0.15,6174,0.15,100,196.25210692068396,103.22555678148244,0.69,0.03
0.0,0.2,6174,0.2,100,207.04347147316435,91.09575957136937,0.73,0.0
0.0,0.25,6174,0.25,100,179.63029536821927,112.49824727905425,0.59,0.03
0.0,0.0,196,0.0,100,141.0094801590493,86.33915157636336,0.27,0.01
0.0,0.05,196,0.05,100,133.81564310529677,92.01257143230107,0.19,0.01
0.0,0.1,196,0.1,100,157.4167547094476,90.941347014838,0.38,0.01
0.0,0.15,196,0.15,100,122.69674186078655,110.09070927582576,0.25,0.02
0.0,0.2,196,0.2,100,125.36547524587222,123.09644158361597,0.34,0.04
0.0,0.25,196,0.25,100,102.0236254901065,123.80693570166699,0.23,0.05
0.05,0.0,0,0.0,100,117.94063050258073,95.37068024073349,0.26,0.0
0.05,0.05,0,0.05,100,106.1520493843309,101.44417325028151,0.3,0.0
0.05,0.1,0,0.1,100,93.38620451622002,117.72982629997814,0.25,0.03
0.05,0.15,0,0.15,100,94.60557370625884,119.84316064366357,0.23,0.04
0.05,0.2,0,0.2,100,79.26976234297871,128.42365566399062,0.25,0.04
0.05,0.25,0,0.25,100,86.69007508569919,141.92410325781407,0.3,0.11
0.05,0.0,42,0.0,100,200.54759793096326,59.45011459413741,0.69,0.0
0.05,0.05,42,0.05,100,193.1836505222002,71.1719419394728,0.65,0.0
0.05,0.1,42,0.1,100,177.0550171721692,112.48664367392308,0.63,0.02
0.05,0.15,42,0.15,100,171.44764908991624,89.7383165996061,0.58,0.01
0.05,0.2,42,0.2,100,159.43399787794203,113.5451960319804,0.58,0.05
0.05,0.25,42,0.25,100,148.09667564054146,127.13944804410646,0.58,0.05
0.05,0.0,1729,0.0,100,121.27050976030272,110.88781341685507,0.39,0.0
0.05,0.05,1729,0.05,100,84.0732226117857,125.23691764715535,0.28,0.05
0.05,0.1,1729,0.1,100,89.73507880559328,124.04944178435443,0.3,0.04
0.05,0.15,1729,0.15,100,119.42402166191496,129.2482213827072,0.4,0.05
0.05,0.2,1729,0.2,100,64.67367175464773,148.21970152486645,0.28,0.09
0.05,0.25,1729,0.25,100,54.1848121876088,123.41263543549798,0.2,0.06
0.05,0.0,6174,0.0,100,199.01232955115924,57.3310227501932,0.64,0.0
0.05,0.05,6174,0.05,100,192.1960635193482,59.18823359458131,0.6,0.0
0.05,0.1,6174,0.1,100,152.4518337612992,151.75907799844086,0.54,0.06
0.05,0.15,6174,0.15,100,153.218432025535,158.7990615419422,0.54,0.05
0.05,0.2,6174,0.2,100,154.59200961326604,112.49926262318525,0.48,0.06
0.05,0.25,6174,0.25,100,153.71845777490682,145.39693060049476,0.5,0.06
0.05,0.0,196,0.0,100,85.05905138542799,88.42568282967376,0.13,0.0
0.05,0.05,196,0.05,100,67.04465523216086,102.13376097522728,0.12,0.01
0.05,0.1,196,0.1,100,44.6075282781876,100.09359516257233,0.07,0.03
0.05,0.15,196,0.15,100,54.29587240270916,106.37816558281678,0.08,0.02
0.05,0.2,196,0.2,100,39.41949618623963,111.98967614347077,0.07,0.05
0.05,0.25,196,0.25,100,61.1799104452213,119.30531839521518,0.14,0.06
0.1,0.0,0,0.0,100,147.46143600523482,74.0848162222636,0.31,0.0
0.1,0.05,0,0.05,100,150.15958028839222,79.06871469073165,0.36,0.0
0.1,0.1,0,0.1,100,142.3085325358919,95.15157113547347,0.37,0.01
0.1,0.15,0,0.15,100,147.01785841295103,93.88441000673942,0.41,0.01
0.1,0.2,0,0.2,100,105.61698160132536,145.90579479040736,0.31,0.09
0.1,0.25,0,0.25,100,90.68602837565248,161.56903988565605,0.27,0.09
0.1,0.0,42,0.0,100,201.91403187931232,46.741395424845926,0.59,0.0
0.1,0.05,42,0.05,100,187.21832287691436,74.00382239703077,0.56,0.01
0.1,0.1,42,0.1,100,157.5837691624549,135.81043568500255,0.48,0.07
0.1,0.15,42,0.15,100,169.01138425085395,101.73577072314252,0.49,0.03
0.1,0.2,42,0.2,100,121.78671653122912,187.23994003744545,0.42,0.11
0.1,0.25,42,0.25,100,133.26632220636367,162.60480221779954,0.48,0.09
0.1,0.0,1729,0.0,100,207.21095457123857,54.37129842130993,0.53,0.0
0.1,0.05,1729,0.05,100,186.40774263431763,94.00469413131906,0.49,0.02
0.1,0.1,1729,0.1,100,178.95619836735673,104.93072871883953,0.55,0.03
