train_p,test_p,seed,failure_prob,n_episodes,mean_return,std_return,success_rate,crash_rate
0.0,0.0,0,0.0,100,242.55670374267223,51.42213008861124,0.88,0.0
0.0,0.05,0,0.05,100,239.5237478837585,57.40599161027468,0.84,0.0
0.0,0.1,0,0.1,100,242.83008392551272,40.2338848874233,0.9,0.0
0.0,0.15,0,0.15,100,235.94823802737213,59.86316269602305,0.85,0.0
0.0,0.2,0,0.2,100,238.81938930215088,47.55650350494039,0.84,0.0
0.0,0.25,0,0.25,100,215.9991198618159,78.53072412707391,0.71,0.0
0.0,0.0,42,0.0,100,239.25753967452837,54.66471091732877,0.85,0.0
0.0,0.05,42,0.05,100,250.12790125647544,43.58483300971769,0.93,0.0
0.0,0.1,42,0.1,100,228.23964229599562,70.77794113434551,0.82,0.0
0.0,0.15,42,0.15,100,227.6887899852216,71.57513625870617,0.81,0.0
0.0,0.2,42,0.2,100,229.85975641958413,73.39452593759768,0.84,0.0
0.0,0.25,42,0.25,100,222.49800591496856,76.1098827756498,0.77,0.0
0.0,0.0,1729,0.0,100,256.6303947508912,44.56272633487979,0.9,0.0
0.0,0.05,1729,0.05,100,253.07608084626563,45.9064504666518,0.88,0.0
0.0,0.1,1729,0.1,100,242.56648968598878,61.80143902507443,0.83,0.0
0.0,0.15,1729,0.15,100,245.24384090596737,55.82334335822758,0.85,0.0
0.0,0.2,1729,0.2,100,238.83662823065026,66.16339955133755,0.8,0.0
0.0,0.25,1729,0.25,100,225.63100632882004,78.24808706121365,0.76,0.0
0.0,0.0,6174,0.0,100,238.95900469415602,44.59758647190658,0.89,0.0
0.0,0.05,6174,0.05,100,234.95900469415602,53.13008572554128,0.88,0.0
0.0,0.1,6174,0.1,100,238.38690087145926,54.14660988042395,0.87,0.0
0.0,0.15,6174,0.15,100,236.95420896975983,57.40948524794649,0.87,0.0
0.0,0.2,6174,0.2,100,239.4909241736317,50.701269241473874,0.92,0.0
0.0,0.25,6174,0.25,100,242.84233942404276,54.74211477443022,0.9,0.0
0.0,0.0,196,0.0,100,267.5992028304681,30.64473640926969,0.95,0.0
0.0,0.05,196,0.05,100,258.85147857204583,36.80044406358022,0.93,0.0
0.0,0.1,196,0.1,100,251.54875930839714,86.68865417065793,0.91,0.01
0.0,0.15,196,0.15,100,249.14206853129951,93.79291637318315,0.91,0.01
0.0,0.2,196,0.2,100,249.06126522372702,95.7861384842116,0.92,0.01
0.0,0.25,196,0.25,100,243.64030786955104,94.69149616231863,0.86,0.01
0.05,0.0,0,0.0,100,243.91267252045031,57.29816547504277,0.89,0.0
0.05,0.05,0,0.05,100,236.6069895368504,60.854502778136684,0.87,0.0
0.05,0.1,0,0.1,100,227.73465697116663,67.669736616234,0.83,0.0
0.05,0.15,0,0.15,100,227.92291088839448,68.07084293699772,0.83,0.0
